 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min, Label
443,65728981,15,16,730,6686,352,0,48.66666667,99.73011199,1460,0,417.875,635.7704906,112.8269431,0.471633662,2190966.033,4068235.443,10100000,1,61000000,4358770.786,5102343.516,10100000,194,65700000,4380355.067,4934891.319,10200000,3,0,0,0,0,312,404,0.228209836,0.243423825,0,1460,231.75,485.7016209,235906.0645,0,0,0,1,0,0,0,0,1,239.2258065,48.66666667,417.875,312,0,0,0,0,0,0,15,730,16,6686,8192,1,14,20,155144.6667,322195.2788,812823,23473,10000000,36442.86713,10100000,9999994,BENIGN
80,5520750,3,1,0,0,0,0,0,0,0,0,0,0,0,0.724539238,1840250,3186798.557,5520048,122,5520750,2760375,3902766.984,5520048,702,0,0,0,0,0,0,0,0,0,104,40,0.543404429,0.18113481,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ XSS
53,606611,2,2,92,204,46,46,46,0,142,62,102,56.56854249,487.956862,6.594011648,202203.6667,269552.0505,512875,30412,576199,576199,0,576199,576199,543287,543287,0,543287,543287,0,0,0,0,40,72,3.297005824,3.297005824,46,142,68.4,41.72289539,1740.8,0,0,0,0,0,0,0,0,1,85.5,46,102,40,0,0,0,0,0,0,2,92,2,204,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
53,23736,2,2,76,108,38,38,38,0,54,54,54,0,7751.937984,168.520391,7912,13659.83722,23685,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,40,40,84.26019548,84.26019548,38,54,44.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,55.5,38,54,40,0,0,0,0,0,0,2,76,2,108,-1,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
80,115163838,16,14,297,2048,297,0,18.5625,74.25,2048,0,146.2857143,547.3510234,20.36229463,0.260498439,3971166.828,4876778.034,10000000,32,115000000,7677589.2,4197658.324,10000000,32,111000000,8504109.769,3765908.19,10000000,855,0,0,0,0,520,456,0.138932501,0.121565938,0,2048,75.64516129,369.9155353,136837.5032,0,0,0,1,0,0,0,0,0,78.16666667,18.5625,146.2857143,520,0,0,0,0,0,0,16,297,14,2048,29200,340,1,32,39751.90909,11403.5879,74133,36109,10000000,3832.483133,10000000,9998991,BENIGN
54244,3,2,0,12,0,6,6,6,0,0,0,0,0,4000000,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,40,0,666666.6667,0,6,6,6,0,0,0,0,0,0,1,0,0,0,0,9,6,0,40,0,0,0,0,0,0,2,12,0,0,404,-1,1,20,0,0,0,0,0,0,0,0,BENIGN
389,2,2,0,7,0,7,0,3.5,4.949747468,0,0,0,0,3500000,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,1,0,0,0,64,0,1000000,0,0,7,4.666666667,4.041451884,16.33333333,0,1,0,0,1,0,0,0,0,7,3.5,0,64,0,0,0,0,0,0,2,7,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,BENIGN
80,5414632,3,1,0,0,0,0,0,0,0,0,0,0,0,0.738739032,1804877.333,3125418.724,5413800,115,5414632,2707316,3827546.379,5413800,832,0,0,0,0,0,0,0,0,0,104,40,0.554054274,0.184684758,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0,0,0,0,0,0,0,0,Web Attack ï¿½ Brute Force
443,95183,1,1,0,0,0,0,0,0,0,0,0,0,0,21.01215553,95183,0,95183,95183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,10.50607777,10.50607777,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,304,252,0,32,0,0,0,0,0,0,0,0,BENIGN
137,21,13,0,650,0,50,50,50,0,0,0,0,0,31000000,619047.619,1.75,1.712255291,7,1,21,1.75,1.712255291,7,1,0,0,0,0,0,0,0,0,0,416,0,619047.619,0,50,50,50,0,0,0,0,0,0,0,0,0,0,0,53.84615385,50,0,416,0,0,0,0,0,0,13,650,0,0,-1,-1,12,32,0,0,0,0,0,0,0,0,BENIGN
