seed,variant,stream,width,depth,epsilon,n_events,distinct_keys,violation_rate,mean_error
0,cms,adversarial,16,3,0.02,500,25,1.0,80.0
0,cu,adversarial,16,3,0.02,500,25,1.0,80.0
0,cms,control,16,3,0.02,500,25,0.52,13.6
0,cu,control,16,3,0.02,500,25,0.0,2.08
1,cms,adversarial,16,3,0.02,500,25,1.0,80.0
1,cu,adversarial,16,3,0.02,500,25,1.0,80.0
1,cms,control,16,3,0.02,500,25,0.48,10.4
1,cu,control,16,3,0.02,500,25,0.0,2.4
2,cms,adversarial,16,3,0.02,500,25,1.0,80.0
2,cu,adversarial,16,3,0.02,500,25,1.0,80.0
2,cms,control,16,3,0.02,500,25,0.4,8.0
2,cu,control,16,3,0.02,500,25,0.0,1.28
3,cms,adversarial,16,3,0.02,500,25,1.0,80.0
3,cu,adversarial,16,3,0.02,500,25,1.0,80.0
3,cms,control,16,3,0.02,500,25,0.48,12.0
3,cu,control,16,3,0.02,500,25,0.0,2.16
4,cms,adversarial,16,3,0.02,500,25,1.0,80.0
4,cu,adversarial,16,3,0.02,500,25,1.0,80.0
4,cms,control,16,3,0.02,500,25,0.48,10.4
4,cu,control,16,3,0.02,500,25,0.0,2.28
5,cms,adversarial,16,3,0.02,500,25,1.0,80.0
5,cu,adversarial,16,3,0.02,500,25,1.0,80.0
5,cms,control,16,3,0.02,500,25,0.48,11.2
5,cu,control,16,3,0.02,500,25,0.0,2.16
6,cms,adversarial,16,3,0.02,500,25,1.0,100.0
6,cu,adversarial,16,3,0.02,500,25,1.0,80.4
6,cms,control,16,3,0.02,500,25,0.4,13.6
6,cu,control,16,3,0.02,500,25,0.0,1.92
7,cms,adversarial,16,3,0.02,500,25,1.0,80.0
7,cu,adversarial,16,3,0.02,500,25,1.0,80.0
7,cms,control,16,3,0.02,500,25,0.6,12.8
7,cu,control,16,3,0.02,500,25,0.0,2.2
8,cms,adversarial,16,3,0.02,500,25,1.0,80.0
8,cu,adversarial,16,3,0.02,500,25,1.0,80.0
8,cms,control,16,3,0.02,500,25,0.48,11.2
8,cu,control,16,3,0.02,500,25,0.0,2.24
9,cms,adversarial,16,3,0.02,500,25,1.0,80.0
9,cu,adversarial,16,3,0.02,500,25,1.0,80.0
9,cms,control,16,3,0.02,500,25,0.32,7.2
9,cu,control,16,3,0.02,500,25,0.0,1.24
