trace,factor,width,depth,epsilon,delta,baseline_n,n_events,distinct_keys,num_targets,mean_error,violation_rate_theorem,violation_rate_provisioned
MAWI,1,272,3,0.01,0.05,9738,9738,4319,10,22.21139152581616,0.0,0.0
MAWI,2,272,3,0.01,0.05,9738,10470,4319,10,22.227367446168095,0.00023153507756425097,0.00023153507756425097
MAWI,5,272,3,0.01,0.05,9738,12666,4319,10,22.275295207223895,0.00023153507756425097,0.00023153507756425097
MAWI,10,272,3,0.01,0.05,9738,16326,4319,10,22.355174808983563,0.00023153507756425097,0.00023153507756425097
MAWI,20,272,3,0.01,0.05,9738,23646,4319,10,22.514934012502895,0.00023153507756425097,0.00023153507756425097
MAWI,50,272,3,0.01,0.05,9738,45606,4319,10,22.994211623060895,0.00023153507756425097,0.00023153507756425097
MAWI,1,28,3,0.1,0.05,9738,9738,4319,10,296.83885158601527,0.0,0.0
MAWI,2,28,3,0.1,0.05,9738,10470,4319,10,302.0544107432276,0.0,0.0
MAWI,5,28,3,0.1,0.05,9738,12666,4319,10,309.1613799490623,0.0,0.0
MAWI,10,28,3,0.1,0.05,9738,16326,4319,10,319.4850659874971,0.0,0.0062514470942347765
MAWI,20,28,3,0.1,0.05,9738,23646,4319,10,340.0199120166705,0.0006946052326927529,0.03380412132438065
MAWI,50,28,3,0.1,0.05,9738,45606,4319,10,401.5575364667747,0.0009261403102570039,0.03380412132438065
CIC-IDS,1,272,3,0.01,0.05,10180,10180,1371,10,3.3435448577680527,0.0,0.0
CIC-IDS,2,272,3,0.01,0.05,10180,18910,1371,10,3.3435448577680527,0.0,0.0
CIC-IDS,5,272,3,0.01,0.05,10180,45100,1371,10,3.3435448577680527,0.0,0.0
CIC-IDS,10,272,3,0.01,0.05,10180,88750,1371,10,3.3435448577680527,0.0,0.0
CIC-IDS,20,272,3,0.01,0.05,10180,176050,1371,10,3.3435448577680527,0.0,0.0
CIC-IDS,50,272,3,0.01,0.05,10180,437950,1371,10,3.3435448577680527,0.0,0.0
CIC-IDS,1,28,3,0.1,0.05,10180,10180,1371,10,49.55725747629467,0.0007293946024799417,0.0007293946024799417
CIC-IDS,2,28,3,0.1,0.05,10180,18910,1371,10,51.9380014587892,0.0007293946024799417,0.0007293946024799417
CIC-IDS,5,28,3,0.1,0.05,10180,45100,1371,10,58.88986141502553,0.0007293946024799417,0.002188183807439825
CIC-IDS,10,28,3,0.1,0.05,10180,88750,1371,10,70.472647702407,0.0007293946024799417,0.002188183807439825
CIC-IDS,20,28,3,0.1,0.05,10180,176050,1371,10,93.63822027716995,0.0007293946024799417,0.0029175784099197666
CIC-IDS,50,28,3,0.1,0.05,10180,437950,1371,10,163.13493800145878,0.0007293946024799417,0.024070021881838075
