variant,epsilon,delta,stream_n,universe,alpha,seed,cms_width,cms_depth,distinct_keys,mean_abs_error,max_abs_error,p99_abs_error,mean_rel_error,top_10_hits,sketch_bytes,baseline_bytes,memory_ratio
CMS,0.01,0.01,50000,5000,1.2,42,272,5,3199,24.4617,166,65.0,14.517346,10,49360,352277,0.1401
CU-CMS,0.01,0.01,50000,5000,1.2,42,272,5,3199,12.5592,123,26.0,8.37567,10,49360,352277,0.1401
Engine,0.01,0.01,50000,5000,1.2,42,272,5,3199,24.4617,166,65.0,14.517346,6,53062,352277,0.1506
Engine-CU,0.01,0.01,50000,5000,1.2,42,272,5,3199,12.5592,123,26.0,8.37567,6,53062,352277,0.1506
CMS,0.005,0.01,50000,5000,1.2,42,544,5,3199,8.1516,50,25.0,4.802434,10,98320,352277,0.2791
CU-CMS,0.005,0.01,50000,5000,1.2,42,544,5,3199,3.7346,27,11.0,2.671903,10,98320,352277,0.2791
Engine,0.005,0.01,50000,5000,1.2,42,544,5,3199,8.1516,50,25.0,4.802434,6,102022,352277,0.2896
Engine-CU,0.005,0.01,50000,5000,1.2,42,544,5,3199,3.7346,27,11.0,2.671903,6,102022,352277,0.2896
CMS,0.001,0.01,50000,5000,1.2,42,2719,5,3199,0.2301,7,3.0,0.135351,10,489820,352277,1.3904
CU-CMS,0.001,0.01,50000,5000,1.2,42,2719,5,3199,0.055,4,1.0,0.045903,10,489820,352277,1.3904
Engine,0.001,0.01,50000,5000,1.2,42,2719,5,3199,0.2301,7,3.0,0.135351,6,493522,352277,1.4009
Engine-CU,0.001,0.01,50000,5000,1.2,42,2719,5,3199,0.055,4,1.0,0.045903,6,493522,352277,1.4009
