variant,epsilon,delta,stream_n,universe,alpha,seed,cms_width,cms_depth,distinct_keys,mean_abs_error,max_abs_error,p99_abs_error,mean_rel_error,top_10_hits,sketch_bytes,baseline_bytes,memory_ratio
CMS,0.1,0.01,50000,5000,1.2,42,28,5,3199,581.0628,1746,1154.0,341.174556,7,5440,421565,0.0129
CU-CMS,0.1,0.01,50000,5000,1.2,42,28,5,3199,331.4264,767,370.0,198.858914,8,5440,421565,0.0129
Engine,0.1,0.01,50000,5000,1.2,42,28,5,3199,581.0628,1746,1154.0,341.174556,6,9654,421565,0.0229
Engine-CU,0.1,0.01,50000,5000,1.2,42,28,5,3199,331.4264,767,370.0,198.858914,6,9654,421565,0.0229
CMS,0.05,0.01,50000,5000,1.2,42,55,5,3199,235.6105,2156,534.0,138.640344,9,10300,421565,0.0244
CU-CMS,0.05,0.01,50000,5000,1.2,42,55,5,3199,132.9931,1572,209.0,81.151084,9,10300,421565,0.0244
Engine,0.05,0.01,50000,5000,1.2,42,55,5,3199,235.6105,2156,534.0,138.640344,6,14514,421565,0.0344
Engine-CU,0.05,0.01,50000,5000,1.2,42,55,5,3199,132.9931,1572,209.0,81.151084,6,14514,421565,0.0344
CMS,0.02,0.01,50000,5000,1.2,42,136,5,3199,67.407,340,177.0,39.736524,10,24880,421565,0.059
CU-CMS,0.02,0.01,50000,5000,1.2,42,136,5,3199,36.4014,201,71.0,23.078758,10,24880,421565,0.059
Engine,0.02,0.01,50000,5000,1.2,42,136,5,3199,67.407,340,177.0,39.736524,6,29094,421565,0.069
Engine-CU,0.02,0.01,50000,5000,1.2,42,136,5,3199,36.4014,201,71.0,23.078758,6,29094,421565,0.069
CMS,0.01,0.01,50000,5000,1.2,42,272,5,3199,24.4617,166,65.0,14.517346,10,49360,421565,0.1171
CU-CMS,0.01,0.01,50000,5000,1.2,42,272,5,3199,12.5592,123,26.0,8.37567,10,49360,421565,0.1171
Engine,0.01,0.01,50000,5000,1.2,42,272,5,3199,24.4617,166,65.0,14.517346,6,53574,421565,0.1271
Engine-CU,0.01,0.01,50000,5000,1.2,42,272,5,3199,12.5592,123,26.0,8.37567,6,53574,421565,0.1271
CMS,0.005,0.01,50000,5000,1.2,42,544,5,3199,8.1516,50,25.0,4.802434,10,98304,421565,0.2332
CU-CMS,0.005,0.01,50000,5000,1.2,42,544,5,3199,3.7346,27,11.0,2.671903,10,98304,421565,0.2332
Engine,0.005,0.01,50000,5000,1.2,42,544,5,3199,8.1516,50,25.0,4.802434,6,102518,421565,0.2432
Engine-CU,0.005,0.01,50000,5000,1.2,42,544,5,3199,3.7346,27,11.0,2.671903,6,102518,421565,0.2432
CMS,0.002,0.01,50000,5000,1.2,42,1360,5,3199,1.3851,20,7.0,0.823813,10,242572,421565,0.5754
CU-CMS,0.002,0.01,50000,5000,1.2,42,1360,5,3199,0.4852,17,3.0,0.388737,10,242572,421565,0.5754
Engine,0.002,0.01,50000,5000,1.2,42,1360,5,3199,1.3851,20,7.0,0.823813,6,246786,421565,0.5854
Engine-CU,0.002,0.01,50000,5000,1.2,42,1360,5,3199,0.4852,17,3.0,0.388737,6,246786,421565,0.5854
CMS,0.001,0.01,50000,5000,1.2,42,2719,5,3199,0.2301,7,3.0,0.135351,10,473092,421565,1.1222
CU-CMS,0.001,0.01,50000,5000,1.2,42,2719,5,3199,0.055,4,1.0,0.045903,10,473092,421565,1.1222
Engine,0.001,0.01,50000,5000,1.2,42,2719,5,3199,0.2301,7,3.0,0.135351,6,477306,421565,1.1322
Engine-CU,0.001,0.01,50000,5000,1.2,42,2719,5,3199,0.055,4,1.0,0.045903,6,477306,421565,1.1322
CMS,0.0005,0.01,50000,5000,1.2,42,5437,5,3199,0.0188,5,1.0,0.010854,10,918496,421565,2.1788
CU-CMS,0.0005,0.01,50000,5000,1.2,42,5437,5,3199,0.0041,1,0.0,0.003215,10,918496,421565,2.1788
Engine,0.0005,0.01,50000,5000,1.2,42,5437,5,3199,0.0188,5,1.0,0.010854,6,922710,421565,2.1888
Engine-CU,0.0005,0.01,50000,5000,1.2,42,5437,5,3199,0.0041,1,0.0,0.003215,6,922710,421565,2.1888
